Title;Artist;YearA Monster Like Me;Kjetil Mørland & Debrah Scarlett;2016;
Amnesia;5 Seconds of Summer;2014;
Ayo Technology;Milow;2008;
A Little Bit Longer;Jonas Brothers;2008;
A Million Dreams;The Greatest Showman;2017;
Anne;Clouseau;1989;
Alle Kleuren;K3;2000;
A Nagy Ho Ho Horgász;100 Folk Celsius;2011;
A Beautiful Lie;30 Seconds to Mars;2005;
Attack;30 Seconds to Mars;2005;
Alibi;30 Seconds to Mars;2009;
A modern myth;30 Seconds to Mars;2005;
A Million Dreams;P!nk;2017;
ALARMA!;666;2012;
All I Want;A Day to Remember;2011;
All Signs Point to Lauderdale;A Day to Remember;2011;
Almost Lover;A Fine Frenzy;2007;
Alles Is Liefde;Bløf;2012;
A Stranger;A Perfect Circle;2003;
Atzin;Frauenarzt & Manny Marc;2011;
Aftermath;Adam Lambert;2010;
Amika;Amika;2008;
Angel;Akon;2010;
Africa;Toto;2010;
All These Things That I've Done;The Killers;2013;
Are You That Somebody;Aaliyah;2014;
At Your Best (You Are Love) (LP Mix - No Intro);Aaliyah;1994;
Another Town, Another Train;ABBA;2001;
As Good As New;ABBA;2001;
Andersomdag;Bart Peeters;2008;
Allemaal Door Jou;Bart Peeters;2006;
Addicted To You;Avicii;2013;
Alone;Alan Walker;2016;
All Of My Heart;ABC;1998;
Airship Pirate (Live);Abney Park;2015;
Alchemy;Above & Beyond;2016;
Adventure of a Lifetime;Coldplay;2015;
Army of One;Coldplay;2015;
A Sky Full of Stars;Coldplay;2014;
Animals;Maroon 5;2014;
Alejandro;Lady Gaga;2009;
All That She Wants;Ace of Base;2004;
All for You (Radio Version);Ace of Base;2011;
Africa;Julien doré & Dick Rivers;2018;
Amsterdam;Jackues Brel;2000;
Allez reste;Boulevard des airs & Vianney;2018;
About a Girl;Nirvana;1989;
Andiamo A Comandare;Fabio Rovazzi;2016;
A Contre-courant;Alizée;2003;
Au Summum;113;2003;
Adesso (Ti voglio bene);Emma Marrone;2015;
Amami;Emma Marrone;2013;
Amore no;Adriano Celentano;1979;
All the Way To Reno;R.E.M.;2001;
After The Love Has Gone;Earth, Wind & Fire;1979;
A ta manière;Amir;2016;
Au cœur de moi;Amir;2017;
Androgyne;Elsa Esnoult;2019;
America;Simon & Garfunkel;1967;
Amen;Francesco Gabbani;2015;
Ain´t Nobody (Break street 84 version);Rufus;1983;
Andy;Clara Morgane;2007;
All I Wanna Do;Dannii Minogue;1996;
All The Lovers;Kylie Minogue;2010;
Axel F;Crazy Frog;2005;
Aragon et Castille;Boby Lapointe;1961;
Also stoßen wir an;Kapelle Petra;2019;
Alles auf Rausch;Feine Sahne Fischfilet;2017;
All For You;Janet Jackson;2001;
Aubrey;Bread;1972;
Audio;LSD;2018;
All the good girls go to Hell;Billie Eilish;2019;
All You Wanted;Michelle Branch;2001;
Are You Happy Now;Michelle Branch;2003;
And We Run;Within Temptation & Xzibit;2014;
A question of time;Depeche Mode;1986;
Anywhere Is;Enya;1994;
Aute Cuture;ROSALÍA;2019;
Amore no;Toto Cutugno;1979;
Aline;Christophe;1965;
Auf das, was da noch kommt;Lotte & Max Giesinger;2019;
All Right;Christopher Cross;1983;
A pleins tubes;C. Jérome;1997;
Anna ni issho datta no ni;SEE-SAW;2016;
Arschgesicht;Knorkator;2011;
Ausgerechnet Bananen;Willi Rose;1923;
Arabella;Arctic Monkeys;2013;
Amies et ennemies;Nadiya;2006;
Am Strand;Farin Urlaub;2001;
Amber;Starmarket;1995;
Ashes to Ashes;Faith No More;1997;
Aqualung;Jethro Tull;1971;
Alchemy;Above & Beyond;2011;
Alchemy;Above & Beyond;2011;
American Girl;Tom Petty and the Heartbreakers;1983;
Always Remember Us This Way;Lady Gaga;2018;
At Your Best;Aaliyah;2011;
A 20 ans;Lorie;2003;
Alive and Kicking;Simple Minds;1985;
Are You Ready to Fly;Rozalla;1992;
Burning Heart;Survivor;1985;
Burnin' Up;Jonas Brothers;2008;
Before The Storm;Jonas Brothers & Miley Cyrus;2009;
Blackout;Milk Inc.;2011;
Barbie Dreams;Nicki Minaj;2018;
Beautiful Sinner;Nicki Minaj;2012;
Best Friend;Toy-Box;1999;
Be Like That;3 Doors Down;2000;
Beribu Sesalan;3 Suara;2011;
Bad Romance;30 Seconds to Mars;2009;
Beautiful disaster;311;1997;
Belong Here (Main Title Theme From Hellcats);78violet;2010;
Bella vera;883;2005;
Blue;A Perfect Circle;2003;
Better Than I Know Myself;Adam Lambert;2012;
Breaking Free;High School Musical;2006;
Butterfly, Butterfly;A-Ha;2016;
Broken Hymns;Dropkick Murphys;2011;
Be Still;The Killers;2013;
Bang A Boomerang;ABBA;2001;
Broken Arrows;Avicii;2015;
Barbie Girl;Aqua;1997;
Birds;Anouk;2013;
Bloed, Zweet En Tranen;André Hazes;2012;
Back In Black (Live - 1991);AC/DC;1992;
Big Girl (You Are Beautiful);MIKA;2007;
Beat It;Michael Jackson;2011;
Black Balloon;The Goo Goo Dolls;2007;
Beautiful Life;Ace of Base;2015;
Better When i'm Dancing;Meghan Trainor;2015;
Butterfly;Danyel Garard;1970;
Bartender;Lady Antebellum;2014;
Bloody Angel;Avatar;2014;
Better Man;Pearl Jam;1995;
Black;Pearl Jam;1991;
Balance ton quoi;Angèle;2018;
Baila Morena;Zucchero;2006;
Baby Baby;Corona;1995;
Bailando;Paradisio;1995;
Blonde;Alizée;2014;
Body;Loud Luxury & Brando;2017;
Bang and Blame;R.E.M.;1994;
Baby come back;Worlds Apart;1995;
Black Fingernails, Red Wine;Eskimo Joe;2006;
Bat out hell;Meat Loaf;1977;
Bad Case Of Loving You;Robert Palmer;1979;
Being Boring;Pet Shop Boys;1986;
Bad Boys;Inner Circle;1987;
Boys (Summertime love);Sabrina Salerno;1987;
Bonsoir John John;France Gall;1966;
Besoin d'amour;France Gall;1979;
Black or white;Michael Jackson;1991;
Belfast;Boney M;1977;
Baby, Baby;The Vibrators;1977;
Blah blah blah;Armin van Buuren;2018;
Bad;Michael Jackson;1986;
Bora bora bora;Scooter;2017;
Break it up;Scooter;2009;
Beautiful People;Ed Sheeran;2019;
Bo le lavabo;Lagaf;1989;
Babicka;Karel Gott;1979;
Besorgter Bürger;Saltatio Mortis;2019;
Blue Hotel;Chris Isaak;1986;
Beautiful People;Ed Sheeran & Khalid;2019;
Belle-Ile-En-Mer, Marie-Galante;Laurent Voulzy;1986;
Back in black;AC/DC;1980;
Blood gulch blues;Trocadero;2004;
Bad Guy;Billie Eilish;2019;
BAGDAD;ROSALÍA;2018;
Bed of Roses;Bon Jovi;1992;
Brain Power;Noma;2016;
bellyache;Billie Eilish;2017;
Bakushou Bocchi Juku Kouka;Hitoribocchi no Marumaru Seikatsu;2019;
Because The Night;CoRo;1992;
Bounce Back;Little Mix;2019;
Be Someone;CamelPhat & Jake Bugg;2019;
Bologna;Wanda;2014;
Bluebird;Wings & Paul Mc Cartney;1974;
Baby Can I Hold You;Boyzone;1998;
Bella e rovinata;Irama;2019;
Blasenschwäche;Monsters of Liedermaching;2008;
Bruce Lee;Rakede;2017;
Black Roses;Ian Brown;2018;
Bam Bam;Sister Nancy;1982;
BOOMBAYAH;BLACKPINK;2016;
Blood Sweat & Tears;BTS;2016;
Bro Hymn Tribute;Pennywise;1991;
Basique;OrelSan;2017;
Bills, Bills, Bills;Destiny's Child;1999;
Break The Rules;Charli XCX;2014;
Blah Blah Blah;Ke$ha;2010;
Blow;Ke$ha;2011;
Body And Blood;Ghost;2013;
Babylon Sisters;Steely Dan;1980;
Beethoveen;Michel Sardou;2006;
Bad Liar;Imagine Dragons;2018;
Back & Forth;Aaliyah & R.Kelly;2014;
Battle Hymn;Manowar;1982;
Bim Bam Toi;Carla Lazzari;2019;
Back At one;Brian McKnight;1998;
Close Encounters;Clouseau;1991;
Cruella De Vil;101 Dalmatiers;1991;
Californa Love;2Pac;1996;
Chodz, Pomaluj Mój Swiat;2 Plus 1;1972;
Capricorn (A Brand New Name);30 Seconds to Mars;2002;
Ci sono anch'io;883;2002;
Casablanca Sucked Anyways;A Day to Remember;2006;
C'est toi que je t'aime;Les Inconnus;1991;
Call Me;Blondie;1980;
Chasing The Sun;The Wanted;2012;
Cry Wolf;A-Ha;2010;
Crying in the Rain;A-Ha;2007;
Caught in the Middle;A1;2009;
Chiquitita;ABBA;2014;
Complicated;Avril Lavigne;2002;
Christmas Lights;Coldplay;2010;
Charlie Brown;Coldplay;2011;
Clocks;Coldplay;2002;
Count on Me;Bruno Mars;2010;
CAN'T STOP THE FEELING!;Justin Timberlake;2016;
Cry Me a River;Justin Timberlake;2013;
Cowboy;Ch!pz;2007;
CH!PZ In Black;Ch!pz;2007;
Carnival;Ch!pz;2005;
C'est la vie;Ace of Base;2015;
Cruel Summer;Ace of Base;2015;
C'est Chaud;Patrick Sébastien;2001;
C'est une pute;Fatal Bazooka;2007;
Ce soir, sans mon SEXE;Fatal Bazooka;2014;
Crucify;Tori Amos;1992;
Cossa ti aspetti da me;Loredana Berte;2019;
Caramel;Booba;2012;
Come Together;Michael Jackson;1995;
Can't Stop The Hardcore;Scooter;2014;
Ça va ça vient;Vitaa;2019;
Ça va ça vient;Vitaa & Slimane;2019;
Ca c'est Tuche Daddy;Tuche Daddy;2016;
Creo en ti;Reik;2011;
C'était bien (Au petit bal perdu);Bourvil;2014;
Chanson populaire (Ca s'en va et ca reviens);Claude Francois;1973;
Caribbean Blue;Enya;2001;
Carry Your Cross And I'll Carry Mine;TIAMAT;2003;
Celebration;Kool & the Gang;1980;
Can't Fight This Feeling;REO Speedwagon;1984;
Ciao Baby;Wanda;2019;
Calleth You, Cometh I;The Ark;2002;
Céline;Hugues Aufray;1966;
Caravan of Love;The Housemartins;1986;
Chim Chim Cher-ee;Robert B. Sherman & Richard M. Sherman;1964;
Con altura;ROSALÍA El Guincho & J Balvin;2019;
Crossing field;Watanabe Sho;2012;
Crystalised;The XX;2009;
Chameleon;Michela;2019;
Combo Final;Tronic;2003;
Calibraciones;Sinergia;2004;
Cecilia;Simon & Garfunkel;1970;
C'est une belle journée;Mylène Farmer;2002;
Cherchez le garçon;Quentin Mosimann;2008;
C'est extra;Leo Ferre;1969;
C'est moi;C. Jérome;1974;
Cordula Grün;Die Draufgänger;2018;
Cordula Grün;josh;2019;
Catch The Fox;Den Harrow;1987;
Cheveux au vent;Najoua Belyzel;2017;
Comme toi;Najoua Belyzel;2006;
Creme de la creme;Waylon;1979;
Closure;Scarlett Belle;2010;
Copacabana;Leon Machere;2018;
Come And Get Your Love;Redbone;1973;
Come no;Baby K;2018;
Come Clean;Hilary Duff;2003;
Catch my Fall;Billy Idol;1983;
Chikatto Chika Chikattsu;Konomi Kohara;2019;
Cirice;Ghost;2015;
C'est bleu [album version];Scooter & Vicky Leandros;2011;
Ca m venere;Palmashow;2014;
Clebrate;Zhi-Vago;1996;
Calicoba;Gold;1986;
Capitaine Abandonné;Gold;1985;
Can't Get Enough Of Your Love Baby;Barry White;1974;
Chain Reaction;Diana Ross;1985;
Can You Hear Me;KoRn;2019;
Cesta Do Sna;Mia Dimši?;2019;
Chiquitita;Cher;2018;
Chori Chori Hum Gori Se;The Guru;2001;
Chlorine;Twenty One Pilots;2018;
Chanteur de Jazz;Michel Sardou;1984;
Can You Feel The Love Tonight;Elton John;1994;
Could I have this kiss forever;Whitney Houston & Enrique Iglesias;2000;
Can't Help Falling In Love;A*Teens;2002;
Come Into My World;Kylie Minogue;2002;
Can’t Stop Loving You;Phil Collins;2002;
Comme des connards;Les Connards;2003;
Castle On The Hill;Ed Sheeran;2017;
Cozy Little Christmas;Katy Perry;2018;
Ciao amore ciao;Giusy Ferreri;2010;
Come un'ora fa;Giusy Ferreri;2016;
Closer to the Edge;30 Seconds to Mars;2009;
Control;Zoe Wees;2020;
Con Le Mani;Zucchero;1997;
Doin' Time;Lana Del Rey;2019;
Do It Again;Steely Dan;1972;
Don't Stop;5 Seconds of Summer;2013;
Dancing Queen;A*Teens;1999;
Domino;Clouseau;1990;
Daar Gaat Ze;Clouseau;1989;
Deutscher Meister 1. FCK;1. FC Kaiserslautern;0000;
Dreadlock Holiday;10CC;1978;
Don't Say Goodbye;2Be3;1998;
Dreams (Will Come Alive);2 Brothers On The 4th Floor;1994;
Deadly Sinners;3 Inches Of Blood;2004;
Down;311;1995;
Don´t Trust Me;3OH!3;2008;
Deja Vu;3OH!3;2010;
Double Vision;3OH!3;2010;
Diz-me que sim;4 Taste;2008;
Disco Inferno;50 Cent;2004;
Dear Mr. President;P!nk;2006;
Diablo;666;1998;
Does your mother know;ABBA;1979;
Dancing Queen;ABBA;1976;
Disco Pogo;Frauenarzt & Manny Marc;2010;
Das geht ab;Frauenarzt & Manny Marc;2014;
Don't Matter;Akon;2007;
De wereld is mooi;Samson & Gert;2001;
Die Young;Ke$ha;2012;
Don't Phunk With My Heart;Black Eyed Peas Tribute;2015;
Denk Je Soms Nog Aan Mij;Bart Peeters;2011;
Don't Let It Break Your Heart;Coldplay;2011;
Don't Panic;Coldplay;2000;
Dromen Zijn Bedrog;Marco Borsato;2006;
De Bestemming;Marco Borsato;2006;
Donnez-moi;Les Frangines;2019;
Demain c'est toi;Zaz;2018;
Djadja;Aya Nakamura;2018;
Dance Monkey;Tones And I;2019;
Donne;2Be3;1996;
Di rose e di spine;Al Bano;2017;
Dépendre de toi;Andrée Watters;2002;
Despacito;Luis Fonsi & Daddy Yankee;2017;
Du Plaisir;Don Juan;2003;
Du hast den schönsten Arsch der Welt;Alex C & Y-ass;2007;
Doktorspiele;Alex C & Y-ass;2008;
Dolly Song (levas Polka);Holly Dolly;2006;
Daddy Cool;Boney M;1976;
De heuveltjes van Erika;Bart Van Den Bossche;1999;
Day and night;Billie Piper;2000;
Don't Stand So Close to Me;Police;1981;
Diabolo menthe;Yves Simon;1977;
Do It All;Stanfour;2007;
Diamant;Rammstein;2019;
Doris K.;Die Prinzen;1999;
Die House;Cuphead & Alana Bridgewater;2017;
De ce plang chitarele;O-zone;2003;
Dangerous;Howard Jones;2014;
Dance Macabre;Ghost;2018;
D'autres que nous;Axelle Red & Ycare;2019;
Dein ist mein ganzes Herz;Heinz Rudolf Kunze & Pe Werner;1984;
Don't Start Now;Dua Lipa;2019;
Déjeuner en paix;Stephan Eicher;1991;
DI MI NOMBRE;ROSALÍA;2018;
Dick In A Box;The Lonely Island;2019;
Don't let the sun go down on me;Elton John;1993;
Die by the blade;Beast in black;2019;
Dame Tu Swing;La Noche;2010;
Demolution;WWE Theme;2017;
Daisy;Christophe;1976;
Done For Me;Charlie Puth & Kehlani;2018;
Disco samba;Two man sound;1977;
Dieu que c'est beau;Daniel Balavoine;1984;
Don´t break my heart;Den Harrow;1987;
Die nackte Elfe;Hasenscheisse;2007;
Doggy;Katja Krasavice;2017;
Dick sein ist fett;Keule;2013;
Dicker Bass / dünnes Kabel;Rakede;2017;
Dans la rue;Michel Polnareff;1985;
Duurt Te Lang;Davina Michelle;2018;
DDU-DU DDU-DU;BLACKPINK;2018;
Du Idiot;Matthias Reim;2002;
Do It Again;Röyksopp & Robyn;2014;
De zero a cento;Baby K;2018;
Deacon Blues;Steely Dan;1977;
Day After Day;Badfinger;1971;
Destination Ailleurs;Yannick Noah;2006;
Donne-Moi une vie;Yannick Noah;2006;
Dancing With A Stranger;Sam Smith & Normani;2019;
Dont't leave me alone;David Guetta ft. Anne-Marie;2019;
Don't leave me alone;David Guetta ft. Anne-Marie;2019;
Don't leave me alone;David Guetta ft. Anne-Marie;2019;
Du bonheur;Jean-Louis Aubert;2020;
Don't Give Me Those Eyes;James Blunt;2017;
Die Reise;Max Giesinger;2018;
Der, die, das (Theme);Sesamstraße;1973;
Dog Without A Bone;Girls Aloud;2013;
Double trouble;Will Ferrell & Rachel Mc Adams;2020;
Don´t Let The Sun Go Down On Me;George Michael & Elton John;1987;
Dirty Picture;Taio Cruz & Ke$ha;2009;
Dynamite;Taio Cruz;2010;
Do What You Like;Taio Cruz;2015;
Don't Stop The Party;Black Eyed Peas Tribute;2011;
Eye Of the Tiger;Survivor;1982;
Er Staat Een Paard In De Gang;Andre Van Duin;2014;
Everytime;A1;2009;
Eagle;ABBA;2012;
Een Beetje Verliefd;André Hazes;2014;
Eenzame Kerst;André Hazes;2013;
Everglow;Coldplay;2015;
Every Teardrop Is a Waterfall;Coldplay;2011;
Elle me dit;MIKA;2011;
Estranged;Guns N' Roses;1991;
Effetto domino;Emma Marrone;2018;
Everlasting love;Worlds Apart;1993;
Everlasting Love (Second version);Worlds Apart;1996;
Elle revait;2Be3;1996;
Everybody's Going To The Moon;Jamiroquai;2000;
Etats d'amour;Amir;2017;
Everyday;Buddy Holly;1957;
Eto vso ona;Sergey Lazarev;2016;
Excellent (Hey, Let's Go!);Poppin'Party;2019;
Egal;Michael Wendler;2017;
Even The Nights Are Better;Air Supply;1982;
En vän med en bil;Håkan Hellström;2000;
Everything I Wanted;Billie Eilish;2019;
Enfant de L'Homme;Phil Collins;1999;
Earth Warrior;Omnia;2014;
Et tu danses avec lui;C. Jérome;1985;
Eastside;Benny BlancoHalsey & Khalid;2018;
Eis auf Ex;Acht Eimer Hühnerherzen;2018;
Everything Apart;Foxwarren;2018;
Et c'est parti...;Nadiya;2004;
Empathy;Gamma Ray;2010;
Elle;Mélissa M;2007;
Et Si N'en Restait Qu'Une;Céline Dion;2007;
Everybody's free (to feel good);Rozalla;1991;
È un'altra cosa;Francesco Gabbani;2019;
Emmanuelle;François Valery;1997;
Ensorcelée;Lorie;2004;
Eternel Fame;Atomic Kitten;2001;
Empty Rooms;Gary Moore;1983;
Enigma;Amanda Lear;1978;
Edge Of Heaven;Wham!;1986;
Everything She Wants;Wham!;1984;
Everyday;High School Musical 2;2007;
Été 90;Thérapie TAXI;2021;
Everybody;Little Big;2019;
Fly With Me;Jonas Brothers;2009;
Fiesta;+ Plus;2012;
Faces;2 Unlimited;1993;
From Yesterday;30 Seconds to Mars;2005;
Funhouse (Main Version);P!nk;2008;
F**kin' Perfect;P!nk;2010;
Freak;78violet;2009;
Fast Forward to 2012;A Day to Remember;2011;
For Your Entertainment;Adam Lambert;2009;
Fresh Prince of Bel Air;Will Smith;2014;
Forever Not Yours;A-Ha;2005;
For Reasons Unknown;The Killers;2013;
Fernando;ABBA;2014;
For A Better Day;Avicii;2015;
Fix You;Coldplay;2019;
Fix You;Coldplay;2005;
For Those About to Rock;AC/DC;2013;
Fire Your Guns;AC/DC;1992;
Faccio Quello Che Voglio;Fabio RovazziAl BanoEmma Marrone & Nek;2018;
Fiori & Fantasia;Adriano Celentano;1988;
Freud;Nek & J-Ax;2017;
Fantasy;Earth, Wind & Fire;1977;
Fairytale;Alexander Rybak;2009;
Felicita;Al Bano & Romina Power;1980;
Fragile fermo immagine;Alexia;2017;
Friends Turbo;Scooter;2011;
Fotografie;Carl BraveFabri Fibra & Francesca Michielin;2018;
Fly Away From Here;Aerosmith;2001;
Für immer jung;Bushido & Karel Gott;2008;
Flag;Xavier Rudd;2015;
Flo;Pierre Bachelet & Florence Arthaud;1989;
Facon sex;Tribal King;2006;
Fick ihn doch;Alligatoah;2013;
Fickt-Euch-Allee;Grossstadtgeflüster;2015;
Future Brain;Den Harrow;1985;
First World Problems;Ian Brown;2018;
Fire and forgive;Powerwolf;2018;
Fuck you;Lily Allen;2009;
Farben;Kontra K;2019;
For Evigt;Johan Olsen & Volbeat;2016;
Falling Slowly;Glen Hansard & Marketa Irglova;2006;
Faith;Ghost;2018;
Fête de trop;Eddy de Pretto;2019;
Falling For You;Busted;2002;
Fernando;Cher;2018;
Favourite Song;Julian Peretta Younotus;2020;
Fun Tonight;Lady Gaga;2020;
Feierabend;Grossstadtgeflüster;2018;
Flares;The Script;2014;
Flashback;Calvin Harris;2009;
Feel So Close;Calvin Harris;2011;
Follow me;Amanda Lear;1978;
Falling over Me;Demi Lovato;2009;
Fire Starter;Demi Lovato;2013;
Fireflies;Owl City;2009;
Flashdance (What A Feeling);Irene Cara;1983;
Firefly;A*Teens;2001;
Floorfiller;A*Teens;2002;
Feels Like I'm In Love;Kelly Marie;1979;
Faut qu'la livre;Festival Robles;1997;
Foot Of The Mountain;A-Ha;2009;
Fascination;Alphabeat;2007;
Firework;Katy Perry;2010;
Fire;2NE1;2010;
Fabulous;High School Musical 2;2007;
Fearless;The Goo Goo Dolls;2019;
Faded;Alan Walker;2015;
Fall Down;Will I Am & Miley Cyrus;2013;
Fallen Angel;Tix;2021;
Fatti avanti amore;Nek;2015;
Four little diamonds;Electric Light Orchestra;1983;
Good Girls;5 Seconds of Summer;2014;
Goodnight and Goodbye;Jonas Brothers;2007;
Gimme Gimme Gimme;A*Teens;1999;
Grand Piano;Nicki Minaj;2014;
Giet de wijn uit het vat;Robin Hood;2012;
Go away;2NE1;2010;
Going Down in Flames;3 Doors Down;2002;
Gli anni;883;2000;
Gravity;A Perfect Circle;2003;
Gimme Gimme Gimme;ABBA;1986;
Ghost Town;Adam Lambert;2015;
Glad you came;The Wanted;2012;
Girlfriend;Avril Lavigne;2007;
Gonna Love Ya;Avicii;2015;
Girl;Anouk;2006;
Giet de wijn uit het vat;Musical Robin Hood;2014;
Gummi Bears Theme;Disney;2019;
Good Grief;Bastille;2016;
Grace Kelly;MIKA;2007;
Grenade;Bruno Mars;2010;
Give a Little Bit;The Goo Goo Dolls;2004;
Give you up;Dido;2019;
Geronimo's Cadillac 98;Modern Talking;1998;
Gourmandises;Alizée;2000;
Girls Like You;Maroon 5 & Cardi B;2017;
Glad He's Gone;Tove Lo;2019;
Gone Sovereign;Stone Sour;2012;
Get over it;Avril Lavigne;2005;
Gaby oh gaby;Alain Bashung;1980;
Gimme all Your Lovin;ZZ Top;1983;
Guantanamera;Joe Dassin;1966;
Girlfriend;Billie Piper;1998;
GIMME GIMME GIMME (A Man After Midnight);Cher;2018;
Get outta my way;Kylie Minogue;2010;
Golimar;Chiranjeevi;1984;
Good Thing;Zedd & Kehlani;2019;
God Bless The USA;Lee Greenwood;1984;
Golden eye;Tina Turner;1995;
Get Down on It;Kool & the Gang;1981;
Glósóli;Sigur Ros;2005;
Get Over It;Ok Go;2002;
Give Me The Night;George Benson;2019;
Gigante;Piero Pelu;2020;
Getting closer;Wings & Paul Mc Cartney;1979;
Gabriel;Najoua Belyzel;2006;
Glitterball;Sigma & Ella Henderson;2015;
Gloria;Sheila;1989;
Getting Away With It;Electronic;1989;
goodnight n go;Ariana Grande;2018;
Giant;Calvin Harris & Rag'n'Bone Man;2019;
Gold;Antoine Clarmaran;2010;
Green River;Creedence Clearwater Revival;1969;
Gingham Check;AKB48;2012;
Get´cha Head in the Game;High School Musical;2006;
Gives you hell;The all american rejects;2008;
Ghostbusters;Ray Parker Jr;1984;
Good Time;Owl City & Carly Rae Jepsen;2012;
Goodbye my lover;James Blunt;2004;
Gimme More;Britney Spears;2007;
Good morning Baltimore;Hairspray;2007;
Greatest Love Of All;Whitney Houston;1985;
Gloria;Laura Branigan;1982;
Galway Girl;Ed Sheeran;2017;
Give Me Love;Ed Sheeran;2011;
Gentleman;Psy;2013;
Gangnam Style;Psy;2012;
Groenlandia;Zombies;1987;
Grey Day;Zoot Woman;2003;
GATEWAY LOVE;Zwei;2013;
Good Feeling;Flo Rida;2011;
Goodbye;Feder ft Lyse;2015;
Gravity;Zlata Ognevich;2013;
Großer Bruder;Zlatko & Jürgen;2005;
Girl's Not Grey;AFI;2002;
Girl´s Not Grey;AFI;2002;
God Called In Sick Today;AFI;1999;
Good For You;Selena Gomez;2015;
Gotta go my own way;High School Musical 2;2007;
Give Me Peace On Earth '98;Modern Talking;1998;
Gloria;Umberto Tozzi;1979;
Goodbye to You;Scandal feat. Patty Smyth;1982;
Hikaru Nara (You Lie In April Opening);Goose House & Mioune Beastboy;2015;
Hammer High;Hammerfall;2016;
Hey Look Ma, I Made It;Panic! at the Disco;2018;
Hafanana;Afric Simone;1975;
Hiroshima;Sandra;1990;
